Configuration,Test run,Initialization time (s),Invocation time (s)
Original,1,3.6,4
Original,2,3.5,3.7
Original,3,3.6,3.7
Original,4,3.7,4.2
Original,5,3.6,3.9
"Pre-call services, 4 GB memory",1,3.2,0.05
"Pre-call services, 4 GB memory",2,3.3,0.05
"Pre-call services, 4 GB memory",3,3.2,0.05
"Pre-call services, 4 GB memory",4,3.2,0.05
"Pre-call services, 4 GB memory",5,3.3,0.05
